n,c,k,t_tot,dt_prim,dt_sec,mean_t_sec,dev_t_sec,m_tot,dm_prim,dm_sec,mean_m_sec,dev_m_sec
1000000,1.000000,3.686869,9502244,2427773.000000,7074471.000000,7.074471,49.365265,63993264.000000,56000000.000000,7993264.000000,7.993264,13.249305
1000000,1.000000,3.616162,9025943,2348430.000000,6677513.000000,6.677513,46.034592,63988000.000000,56000000.000000,7988000.000000,7.988000,13.234331
1000000,1.000000,3.545455,8556550,2261398.000000,6295152.000000,6.295152,40.740905,64003032.000000,56000000.000000,8003032.000000,8.003032,13.259754
1000000,1.000000,3.474747,8469490,2209889.000000,6259601.000000,6.259601,35.321205,63999008.000000,56000000.000000,7999008.000000,7.999008,13.264449
1000000,1.000000,3.404040,7242130,2131357.000000,5110773.000000,5.110773,24.737297,64000968.000000,56000000.000000,8000968.000000,8.000968,13.286710
1000000,1.000000,3.333333,7390679,2209043.000000,5181636.000000,5.181636,23.253290,63995800.000000,56000000.000000,7995800.000000,7.995800,13.265429
1000000,1.000000,3.262626,8093437,2211506.000000,5881931.000000,5.881931,30.698353,64000136.000000,56000000.000000,8000136.000000,8.000136,13.290821
1000000,1.000000,3.191919,8668080,2316862.000000,6351218.000000,6.351218,47.605862,63999760.000000,56000000.000000,7999760.000000,7.999760,13.251734
1000000,1.000000,3.121212,8564024,2201983.000000,6362041.000000,6.362041,21.729089,63994344.000000,56000000.000000,7994344.000000,7.994344,13.246338
1000000,1.000000,3.050505,8455869,2231221.000000,6224648.000000,6.224648,27.084356,63992016.000000,56000000.000000,7992016.000000,7.992016,13.215199
1000000,1.000000,2.979798,8879866,2276291.000000,6603575.000000,6.603575,51.048167,63998496.000000,56000000.000000,7998496.000000,7.998496,13.267423
1000000,1.000000,2.909091,9279748,2331755.000000,6947993.000000,6.947993,37.787929,63986056.000000,56000000.000000,7986056.000000,7.986056,13.182933
1000000,1.000000,2.838384,9645120,2382218.000000,7262902.000000,7.262902,30.572282,64002240.000000,56000000.000000,8002240.000000,8.002240,13.279761
