n, c, k, t_tot, dt_prim, dt_sec, mean_t_sec, dev_t_sec, m_tot, dm_prim, dm_sec, mean_m_sec, dev_m_sec
100, 2.625000, 3.041667, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
100, 2.375000, 3.041667, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
100, 1.125000, 3.625000, 863, 243.000000, 620.000000, 6.200000, 1.435270, 6832.000000, 5600.000000, 1232.000000, 12.320000, 22.822305
2500075, 2.625000, 2.166667, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 3.875000, 7.708333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 3.000000, 4.791667, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 2.875000, 4.791667, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 2.750000, 4.791667, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 2.625000, 4.791667, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 2.500000, 4.791667, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
5000050, 2.500000, 6.833333, 40305973, 11410374.000000, 28895599.000000, 5.779062, 39.041868, 384299424.000000, 280002800.000000, 104296624.000000, 20.859116, 33.232739
10000000, 2.750000, 8.000000, 98682538, 27075530.000000, 71607008.000000, 7.160701, 55.269394, 784069352.000000, 560000000.000000, 224069352.000000, 22.406935, 36.412233
10000000, 3.750000, 8.000000, 99254106, 27217191.000000, 72036915.000000, 7.203691, 54.129555, 863976256.000000, 560000000.000000, 303976256.000000, 30.397626, 49.643553
10000000, 3.000000, 7.416667, 100548299, 26752083.000000, 73796216.000000, 7.379622, 60.560423, 799752848.000000, 560000000.000000, 239752848.000000, 23.975285, 39.700759
10000000, 1.250000, 6.833333, 100594641, 26513612.000000, 74081029.000000, 7.408103, 49.637316, 672846904.000000, 560000000.000000, 112846904.000000, 11.284690, 16.710119
10000000, 3.875000, 4.500000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 4.000000, 4.500000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 3.750000, 4.500000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 3.625000, 4.500000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 3.375000, 4.500000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 3.500000, 4.500000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 2.250000, 4.791667, 100504704, 27377103.000000, 73127601.000000, 7.312760, 56.099204, 752786804.000000, 560000000.000000, 192786804.000000, 19.278680, 29.937653
10000000, 2.375000, 4.791667, 100761614, 28063517.000000, 72698097.000000, 7.269810, 53.747277, 764359252.000000, 560000000.000000, 204359252.000000, 20.435925, 31.782905
10000000, 2.375000, 6.833333, 100547097, 27676339.000000, 72870758.000000, 7.287076, 54.854942, 777700572.000000, 560000000.000000, 217700572.000000, 21.770057, 37.009893
10000000, 2.000000, 4.791667, 97380976, 26670241.000000, 70710735.000000, 7.071073, 53.211249, 719809376.000000, 560000000.000000, 159809376.000000, 15.980938, 26.455013
10000000, 3.125000, 4.500000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 3.000000, 4.500000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 1.875000, 4.791667, 99765923, 26955899.000000, 72810024.000000, 7.281002, 54.255284, 715668592.000000, 560000000.000000, 155668592.000000, 15.566859, 25.069119
10000000, 2.875000, 4.500000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 1.625000, 4.791667, 97678743, 26628121.000000, 71050622.000000, 7.105062, 39.188583, 700038268.000000, 560000000.000000, 140038268.000000, 14.003827, 21.814916
10000000, 1.750000, 4.791667, 99565582, 26533765.000000, 73031817.000000, 7.303182, 55.339386, 705923420.000000, 560000000.000000, 145923420.000000, 14.592342, 23.904485
10000000, 2.750000, 4.500000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 2.625000, 4.500000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 2.500000, 4.500000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 2.375000, 4.500000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 1.250000, 4.791667, 93568046, 25866120.000000, 67701926.000000, 6.770193, 36.976464, 672865668.000000, 560000000.000000, 112865668.000000, 11.286567, 16.727619
10000000, 1.500000, 4.791667, 98586197, 26485912.000000, 72100285.000000, 7.210028, 46.260332, 688505992.000000, 560000000.000000, 128505992.000000, 12.850599, 19.952672
10000000, 1.375000, 4.791667, 98686800, 26680091.000000, 72006709.000000, 7.200671, 58.942170, 684349892.000000, 560000000.000000, 124349892.000000, 12.434989, 18.542659
10000000, 4.000000, 4.208333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 3.875000, 4.208333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 1.125000, 4.791667, 96094491, 25658079.000000, 70436412.000000, 7.043641, 44.475983, 668713348.000000, 560000000.000000, 108713348.000000, 10.871335, 15.327825
10000000, 1.000000, 4.791667, 94643940, 25313205.000000, 69330735.000000, 6.933073, 36.711239, 639917528.000000, 560000000.000000, 79917528.000000, 7.991753, 13.232912
10000000, 3.750000, 4.208333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 3.625000, 4.208333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 3.500000, 4.208333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 3.375000, 4.208333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 3.250000, 4.208333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 3.125000, 4.208333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 3.000000, 4.208333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 2.875000, 4.208333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 2.750000, 4.208333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 2.625000, 4.208333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 2.500000, 4.208333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 3.125000, 4.791667, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 2.250000, 4.208333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 2.125000, 4.208333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 1.875000, 6.833333, 87737636, 25143226.000000, 62594410.000000, 6.259441, 33.205847, 715841016.000000, 560000000.000000, 155841016.000000, 15.584102, 25.128665
10000000, 2.250000, 4.500000, 92286571, 26205805.000000, 66080766.000000, 6.608077, 32.269557, 752721140.000000, 560000000.000000, 192721140.000000, 19.272114, 29.912583
10000000, 2.000000, 4.500000, 91210021, 26646985.000000, 64563036.000000, 6.456304, 32.186770, 719806576.000000, 560000000.000000, 159806576.000000, 15.980658, 26.467499
10000000, 2.125000, 4.500000, 92335099, 26690491.000000, 65644608.000000, 6.564461, 39.055914, 748678684.000000, 560000000.000000, 188678684.000000, 18.867868, 28.541268
10000000, 1.875000, 4.500000, 94905743, 26879237.000000, 68026506.000000, 6.802651, 40.126014, 715716516.000000, 560000000.000000, 155716516.000000, 15.571652, 25.075779
10000000, 1.750000, 4.500000, 96116907, 26782046.000000, 69334861.000000, 6.933486, 39.222356, 704139216.000000, 560000000.000000, 144139216.000000, 14.413922, 23.175260
10000000, 1.625000, 4.500000, 95639219, 26964217.000000, 68675002.000000, 6.867500, 40.943115, 700033900.000000, 560000000.000000, 140033900.000000, 14.003390, 21.806131
10000000, 1.500000, 4.500000, 93333801, 26700162.000000, 66633639.000000, 6.663364, 39.633438, 688504200.000000, 560000000.000000, 128504200.000000, 12.850420, 19.944406
10000000, 2.000000, 6.833333, 93819052, 26116109.000000, 67702943.000000, 6.770294, 37.016893, 719799104.000000, 560000000.000000, 159799104.000000, 15.979910, 26.446214
10000000, 1.375000, 4.500000, 95934769, 26790741.000000, 69144028.000000, 6.914403, 42.334912, 684356184.000000, 560000000.000000, 124356184.000000, 12.435618, 18.540422
10000000, 1.125000, 4.500000, 97399568, 26467741.000000, 70931827.000000, 7.093183, 48.920004, 668753892.000000, 560000000.000000, 108753892.000000, 10.875389, 15.343325
10000000, 1.000000, 4.500000, 94330729, 25706512.000000, 68624217.000000, 6.862422, 34.487333, 639901176.000000, 560000000.000000, 79901176.000000, 7.990118, 13.233255
10000000, 4.000000, 3.916667, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 3.875000, 3.916667, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 3.750000, 3.916667, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 3.625000, 3.916667, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 3.375000, 3.916667, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 3.250000, 3.916667, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 3.125000, 3.916667, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 3.000000, 3.916667, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 2.875000, 3.916667, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
